,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Subset
rf,Random Forest Classifier,0.8461,0.8194,0.8461,0.821,0.8106,0.2416,0.2948,0.296,geo_
et,Extra Trees Classifier,0.8461,0.8173,0.8461,0.821,0.8102,0.24,0.2939,0.256,geo_
lightgbm,Light Gradient Boosting Machine,0.8483,0.8292,0.8483,0.8274,0.8098,0.2351,0.2999,0.546,geo_
dt,Decision Tree Classifier,0.8446,0.8161,0.8446,0.8176,0.8092,0.2367,0.287,0.126,geo_
xgboost,Extreme Gradient Boosting,0.8474,0.8277,0.8474,0.8249,0.8092,0.2333,0.2953,0.217,geo_
knn,K Neighbors Classifier,0.838,0.7701,0.838,0.8056,0.8031,0.2147,0.2555,0.14,geo_
gbc,Gradient Boosting Classifier,0.8446,0.817,0.8446,0.8218,0.8,0.1915,0.2634,2.179,geo_
ada,Ada Boost Classifier,0.8342,0.798,0.8342,0.7815,0.7674,0.0511,0.1055,0.605,geo_
ridge,Ridge Classifier,0.8317,0.6927,0.8317,0.6917,0.7553,-0.0001,-0.001,0.111,geo_
lda,Linear Discriminant Analysis,0.8317,0.6928,0.8317,0.6917,0.7553,-0.0001,-0.001,0.135,geo_
dummy,Dummy Classifier,0.8317,0.5,0.8317,0.6917,0.7553,0.0,0.0,0.054,geo_
lr,Logistic Regression,0.8311,0.7075,0.8311,0.7085,0.7551,-0.0008,-0.0044,1.14,geo_
svm,SVM - Linear Kernel,0.787,0.5542,0.787,0.7089,0.7393,0.0064,0.0019,0.132,geo_
qda,Quadratic Discriminant Analysis,0.4123,0.7363,0.4123,0.8469,0.4425,0.111,0.2242,0.125,geo_
nb,Naive Bayes,0.3427,0.6407,0.3427,0.7833,0.362,0.0453,0.1011,0.061,geo_
