,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Subset
rf,Random Forest Classifier,0.841,0.706,0.841,0.8313,0.7824,0.1133,0.211,0.513,html_
lightgbm,Light Gradient Boosting Machine,0.8414,0.7099,0.8414,0.8357,0.7823,0.1127,0.2145,0.875,html_
xgboost,Extreme Gradient Boosting,0.8411,0.709,0.8411,0.8327,0.7822,0.1125,0.2115,0.347,html_
et,Extra Trees Classifier,0.8403,0.7009,0.8403,0.826,0.782,0.1117,0.2046,0.324,html_
knn,K Neighbors Classifier,0.8409,0.6828,0.8409,0.8346,0.7811,0.1075,0.2087,0.243,html_
gbc,Gradient Boosting Classifier,0.8416,0.7078,0.8416,0.8485,0.7804,0.1041,0.2174,4.498,html_
ada,Ada Boost Classifier,0.8411,0.6954,0.8411,0.8476,0.7793,0.0995,0.2111,1.333,html_
dt,Decision Tree Classifier,0.8285,0.6875,0.8285,0.7733,0.7745,0.0854,0.1272,0.331,html_
lr,Logistic Regression,0.8313,0.6499,0.8313,0.7142,0.7553,-0.0,0.0011,3.729,html_
dummy,Dummy Classifier,0.8317,0.5,0.8317,0.6917,0.7553,0.0,0.0,0.078,html_
ridge,Ridge Classifier,0.8315,0.6633,0.8315,0.6917,0.7552,-0.0004,-0.0034,0.186,html_
lda,Linear Discriminant Analysis,0.8314,0.6617,0.8314,0.6917,0.7551,-0.0007,-0.0063,0.283,html_
svm,SVM - Linear Kernel,0.7869,0.6562,0.7869,0.7278,0.735,0.0172,0.0288,0.328,html_
nb,Naive Bayes,0.464,0.6623,0.464,0.8337,0.5074,0.1309,0.2305,0.112,html_
qda,Quadratic Discriminant Analysis,0.4459,0.6664,0.4459,0.8477,0.4837,0.1304,0.2437,0.315,html_
