,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Subset
xgboost,Extreme Gradient Boosting,0.8669,0.8812,0.8669,0.8524,0.8511,0.4242,0.4478,0.213,ip_
lightgbm,Light Gradient Boosting Machine,0.8668,0.8817,0.8668,0.8522,0.8488,0.4117,0.4407,0.581,ip_
knn,K Neighbors Classifier,0.8553,0.821,0.8553,0.8452,0.8469,0.4289,0.4379,0.171,ip_
rf,Random Forest Classifier,0.8437,0.8314,0.8437,0.8312,0.8359,0.3888,0.393,0.286,ip_
et,Extra Trees Classifier,0.8425,0.7755,0.8425,0.8296,0.8343,0.3824,0.3868,0.315,ip_
gbc,Gradient Boosting Classifier,0.8589,0.8582,0.8589,0.8421,0.8326,0.3372,0.3833,1.116,ip_
dt,Decision Tree Classifier,0.8406,0.7284,0.8406,0.8273,0.8322,0.374,0.3786,0.091,ip_
ada,Ada Boost Classifier,0.8404,0.8359,0.8404,0.8126,0.7911,0.1533,0.2249,0.385,ip_
lda,Linear Discriminant Analysis,0.8317,0.7536,0.8317,0.7283,0.7556,0.0015,0.0107,0.128,ip_
ridge,Ridge Classifier,0.8317,0.7537,0.8317,0.6917,0.7553,-0.0001,-0.001,0.107,ip_
dummy,Dummy Classifier,0.8317,0.5,0.8317,0.6917,0.7553,0.0,0.0,0.056,ip_
lr,Logistic Regression,0.8306,0.7597,0.8306,0.7085,0.7551,-0.0007,-0.0047,0.395,ip_
svm,SVM - Linear Kernel,0.773,0.6588,0.773,0.7781,0.7467,0.1158,0.1512,0.181,ip_
qda,Quadratic Discriminant Analysis,0.5441,0.7503,0.5441,0.8516,0.5921,0.1961,0.3035,0.104,ip_
nb,Naive Bayes,0.5152,0.6785,0.5152,0.8361,0.5638,0.163,0.2599,0.06,ip_
