,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Subset
lightgbm,Light Gradient Boosting Machine,0.937,0.9352,0.937,0.9356,0.9337,0.7527,0.7613,0.829,lex_
xgboost,Extreme Gradient Boosting,0.9341,0.9303,0.9341,0.9321,0.9311,0.7441,0.7507,0.341,lex_
gbc,Gradient Boosting Classifier,0.9255,0.9204,0.9255,0.9248,0.9194,0.694,0.7125,5.505,lex_
rf,Random Forest Classifier,0.9238,0.9144,0.9238,0.9215,0.9188,0.6944,0.7068,0.467,lex_
et,Extra Trees Classifier,0.9213,0.886,0.9213,0.9187,0.9158,0.6824,0.6959,0.499,lex_
ada,Ada Boost Classifier,0.9066,0.8994,0.9066,0.9018,0.8989,0.6161,0.6325,1.191,lex_
lda,Linear Discriminant Analysis,0.8987,0.885,0.8987,0.8952,0.8864,0.5604,0.592,0.228,lex_
dt,Decision Tree Classifier,0.8761,0.7909,0.8761,0.878,0.8769,0.5637,0.5639,0.367,lex_
ridge,Ridge Classifier,0.8929,0.8852,0.8929,0.8945,0.8751,0.5083,0.5627,0.129,lex_
knn,K Neighbors Classifier,0.8635,0.786,0.8635,0.8479,0.8475,0.4106,0.4329,0.188,lex_
lr,Logistic Regression,0.8317,0.4768,0.8317,0.6917,0.7553,0.0,0.0,0.148,lex_
nb,Naive Bayes,0.8317,0.5302,0.8317,0.6917,0.7553,0.0,0.0,0.079,lex_
svm,SVM - Linear Kernel,0.8317,0.4927,0.8317,0.6917,0.7553,0.0,0.0,0.565,lex_
dummy,Dummy Classifier,0.8317,0.5,0.8317,0.6917,0.7553,0.0,0.0,0.067,lex_
qda,Quadratic Discriminant Analysis,0.3245,0.8671,0.3245,0.8487,0.3192,0.0676,0.174,0.154,lex_
