,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Subset
rf,Random Forest Classifier,0.9788,0.996,0.9788,0.9788,0.9788,0.9238,0.9238,0.988,tls_+geo_+ip__agg
xgboost,Extreme Gradient Boosting,0.9786,0.9966,0.9786,0.979,0.9788,0.9244,0.9246,1.077,tls_+geo_+ip__agg
lightgbm,Light Gradient Boosting Machine,0.9783,0.9965,0.9783,0.9788,0.9785,0.9236,0.9238,0.843,tls_+geo_+ip__agg
et,Extra Trees Classifier,0.9775,0.9943,0.9775,0.9774,0.9774,0.9188,0.9188,0.921,tls_+geo_+ip__agg
dt,Decision Tree Classifier,0.9713,0.9498,0.9713,0.9714,0.9713,0.8972,0.8972,0.406,tls_+geo_+ip__agg
gbc,Gradient Boosting Classifier,0.9649,0.992,0.9649,0.9665,0.9654,0.878,0.8789,13.462,tls_+geo_+ip__agg
ada,Ada Boost Classifier,0.962,0.9897,0.962,0.964,0.9627,0.8684,0.8697,3.386,tls_+geo_+ip__agg
lda,Linear Discriminant Analysis,0.9292,0.9703,0.9292,0.9377,0.9319,0.766,0.7713,0.54,tls_+geo_+ip__agg
ridge,Ridge Classifier,0.9226,0.9703,0.9226,0.9206,0.9214,0.7137,0.7145,0.288,tls_+geo_+ip__agg
knn,K Neighbors Classifier,0.8963,0.9366,0.8963,0.9012,0.8983,0.6432,0.6444,1.045,tls_+geo_+ip__agg
nb,Naive Bayes,0.8244,0.9137,0.8244,0.9108,0.8438,0.5511,0.6121,0.247,tls_+geo_+ip__agg
lr,Logistic Regression,0.857,0.9237,0.857,0.8397,0.843,0.3966,0.4106,1.866,tls_+geo_+ip__agg
qda,Quadratic Discriminant Analysis,0.8219,0.9576,0.8219,0.9079,0.8417,0.5451,0.6042,0.4,tls_+geo_+ip__agg
dummy,Dummy Classifier,0.8326,0.5,0.8326,0.6932,0.7565,0.0,0.0,0.204,tls_+geo_+ip__agg
svm,SVM - Linear Kernel,0.6495,0.7851,0.6495,0.7238,0.6123,0.0223,0.0296,2.411,tls_+geo_+ip__agg
