,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Subset
rf,Random Forest Classifier,0.9165,0.912,0.9165,0.9135,0.9143,0.6861,0.6886,0.741,dns_
et,Extra Trees Classifier,0.9155,0.891,0.9155,0.9125,0.9133,0.6829,0.6851,0.351,dns_
knn,K Neighbors Classifier,0.9142,0.886,0.9142,0.9109,0.9116,0.6757,0.6787,0.171,dns_
xgboost,Extreme Gradient Boosting,0.9166,0.9175,0.9166,0.9129,0.9115,0.6681,0.6785,0.43,dns_
lightgbm,Light Gradient Boosting Machine,0.9175,0.9176,0.9175,0.9145,0.9114,0.6649,0.6796,0.646,dns_
dt,Decision Tree Classifier,0.8958,0.8503,0.8958,0.8957,0.8957,0.6268,0.6271,0.199,dns_
gbc,Gradient Boosting Classifier,0.8911,0.8799,0.8911,0.8921,0.8728,0.4991,0.5538,2.825,dns_
ada,Ada Boost Classifier,0.8632,0.8417,0.8632,0.8536,0.8335,0.3352,0.3997,0.719,dns_
lda,Linear Discriminant Analysis,0.8491,0.7843,0.8491,0.8264,0.8136,0.2532,0.31,0.174,dns_
ridge,Ridge Classifier,0.8346,0.7842,0.8346,0.7962,0.7724,0.0722,0.1401,0.126,dns_
lr,Logistic Regression,0.8242,0.6988,0.8242,0.7307,0.7582,0.0143,0.0262,1.654,dns_
dummy,Dummy Classifier,0.8317,0.5,0.8317,0.6917,0.7553,0.0,0.0,0.068,dns_
svm,SVM - Linear Kernel,0.6466,0.6454,0.6466,0.772,0.6756,0.118,0.1475,0.138,dns_
qda,Quadratic Discriminant Analysis,0.5847,0.788,0.5847,0.8468,0.6332,0.2208,0.3161,0.143,dns_
nb,Naive Bayes,0.3432,0.6313,0.3432,0.8202,0.3546,0.064,0.1513,0.075,dns_
