,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Subset
xgboost,Extreme Gradient Boosting,0.997,0.9999,0.997,0.997,0.997,0.9891,0.9891,4.859,dns_+rdap_+tls_+geo_+ip_+html_+lex__agg
lightgbm,Light Gradient Boosting Machine,0.997,0.9999,0.997,0.997,0.997,0.9893,0.9893,1.992,dns_+rdap_+tls_+geo_+ip_+html_+lex__agg
rf,Random Forest Classifier,0.9916,0.9995,0.9916,0.9917,0.9916,0.9695,0.9698,3.015,dns_+rdap_+tls_+geo_+ip_+html_+lex__agg
gbc,Gradient Boosting Classifier,0.9899,0.9992,0.9899,0.9899,0.9899,0.9638,0.9638,65.744,dns_+rdap_+tls_+geo_+ip_+html_+lex__agg
ada,Ada Boost Classifier,0.9896,0.9991,0.9896,0.9896,0.9896,0.9627,0.9627,14.835,dns_+rdap_+tls_+geo_+ip_+html_+lex__agg
dt,Decision Tree Classifier,0.9887,0.9808,0.9887,0.9887,0.9887,0.9595,0.9595,1.99,dns_+rdap_+tls_+geo_+ip_+html_+lex__agg
et,Extra Trees Classifier,0.9863,0.999,0.9863,0.9865,0.9861,0.9495,0.9505,3.709,dns_+rdap_+tls_+geo_+ip_+html_+lex__agg
lda,Linear Discriminant Analysis,0.9758,0.9956,0.9758,0.9757,0.9757,0.9125,0.9126,2.602,dns_+rdap_+tls_+geo_+ip_+html_+lex__agg
ridge,Ridge Classifier,0.9743,0.9956,0.9743,0.9741,0.9738,0.9047,0.9058,0.748,dns_+rdap_+tls_+geo_+ip_+html_+lex__agg
knn,K Neighbors Classifier,0.963,0.9646,0.963,0.9626,0.9627,0.865,0.8654,2.296,dns_+rdap_+tls_+geo_+ip_+html_+lex__agg
lr,Logistic Regression,0.8985,0.9488,0.8985,0.8972,0.8978,0.631,0.6312,17.379,dns_+rdap_+tls_+geo_+ip_+html_+lex__agg
dummy,Dummy Classifier,0.8326,0.5,0.8326,0.6932,0.7565,0.0,0.0,0.479,dns_+rdap_+tls_+geo_+ip_+html_+lex__agg
svm,SVM - Linear Kernel,0.7884,0.6171,0.7884,0.7609,0.7536,0.0864,0.1039,10.43,dns_+rdap_+tls_+geo_+ip_+html_+lex__agg
qda,Quadratic Discriminant Analysis,0.6856,0.9565,0.6856,0.8789,0.7253,0.343,0.4404,1.806,dns_+rdap_+tls_+geo_+ip_+html_+lex__agg
nb,Naive Bayes,0.6163,0.9389,0.6163,0.8782,0.6614,0.2775,0.3951,0.704,dns_+rdap_+tls_+geo_+ip_+html_+lex__agg
