,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Subset
rf,Random Forest Classifier,0.9147,0.9131,0.9147,0.9113,0.9121,0.6822,0.6851,1.061,dns_
xgboost,Extreme Gradient Boosting,0.9167,0.9197,0.9167,0.9133,0.9116,0.6734,0.6841,0.695,dns_
et,Extra Trees Classifier,0.9135,0.8937,0.9135,0.9101,0.911,0.6785,0.6811,0.78,dns_
knn,K Neighbors Classifier,0.913,0.8833,0.913,0.9099,0.9108,0.6793,0.6812,0.481,dns_
lightgbm,Light Gradient Boosting Machine,0.9156,0.919,0.9156,0.9124,0.9095,0.6639,0.6778,0.895,dns_
dt,Decision Tree Classifier,0.8955,0.8544,0.8955,0.8947,0.8951,0.6293,0.6295,0.382,dns_
gbc,Gradient Boosting Classifier,0.8865,0.8788,0.8865,0.8859,0.8678,0.4883,0.5406,5.677,dns_
ada,Ada Boost Classifier,0.8589,0.8436,0.8589,0.8482,0.8276,0.3228,0.3878,1.462,dns_
lda,Linear Discriminant Analysis,0.8377,0.778,0.8377,0.8076,0.7922,0.1753,0.2379,0.282,dns_
ridge,Ridge Classifier,0.8303,0.7779,0.8303,0.789,0.7646,0.057,0.1211,0.174,dns_
svm,SVM - Linear Kernel,0.7879,0.6197,0.7879,0.7446,0.7574,0.0754,0.0868,0.231,dns_
lr,Logistic Regression,0.8245,0.6877,0.8245,0.7162,0.7531,0.011,0.0211,3.024,dns_
dummy,Dummy Classifier,0.8284,0.5,0.8284,0.6862,0.7506,0.0,0.0,0.117,dns_
qda,Quadratic Discriminant Analysis,0.5479,0.7888,0.5479,0.8435,0.5946,0.1957,0.2962,0.223,dns_
nb,Naive Bayes,0.2225,0.6425,0.2225,0.794,0.1542,0.0143,0.0617,0.141,dns_
