,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Subset
rf,Random Forest Classifier,0.8386,0.8048,0.8386,0.8121,0.8031,0.2435,0.2929,0.937,geo_
et,Extra Trees Classifier,0.8384,0.8019,0.8384,0.8117,0.8029,0.2429,0.2919,0.709,geo_
xgboost,Extreme Gradient Boosting,0.8407,0.8139,0.8407,0.8172,0.8029,0.2404,0.2982,0.394,geo_
lightgbm,Light Gradient Boosting Machine,0.8411,0.8154,0.8411,0.8185,0.8024,0.2379,0.2984,0.742,geo_
dt,Decision Tree Classifier,0.8363,0.7996,0.8363,0.8075,0.8013,0.238,0.283,0.418,geo_
gbc,Gradient Boosting Classifier,0.8377,0.8021,0.8377,0.8177,0.7893,0.1808,0.2591,6.639,geo_
knn,K Neighbors Classifier,0.7826,0.7456,0.7826,0.7892,0.783,0.2604,0.2662,0.743,geo_
ada,Ada Boost Classifier,0.8256,0.7866,0.8256,0.7903,0.7533,0.035,0.0892,1.868,geo_
ridge,Ridge Classifier,0.8239,0.6887,0.8239,0.6789,0.7444,-0.0001,-0.0008,0.221,geo_
lda,Linear Discriminant Analysis,0.8239,0.6887,0.8239,0.6789,0.7444,-0.0001,-0.0014,0.296,geo_
dummy,Dummy Classifier,0.8239,0.5,0.8239,0.6789,0.7444,0.0,0.0,0.16,geo_
lr,Logistic Regression,0.8236,0.6884,0.8236,0.6788,0.7442,-0.0007,-0.0078,2.977,geo_
svm,SVM - Linear Kernel,0.7783,0.5967,0.7783,0.7198,0.7391,0.0324,0.0335,0.38,geo_
qda,Quadratic Discriminant Analysis,0.4177,0.7233,0.4177,0.8364,0.4451,0.1128,0.2218,0.237,geo_
nb,Naive Bayes,0.3445,0.6299,0.3445,0.7732,0.359,0.045,0.0991,0.175,geo_
