,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Subset
rf,Random Forest Classifier,0.8381,0.7041,0.8381,0.8233,0.7807,0.1231,0.2156,0.629,html_
xgboost,Extreme Gradient Boosting,0.839,0.7062,0.839,0.8311,0.7807,0.1226,0.2228,0.476,html_
et,Extra Trees Classifier,0.8378,0.6982,0.8378,0.8215,0.7805,0.1222,0.213,0.549,html_
lightgbm,Light Gradient Boosting Machine,0.8395,0.706,0.8395,0.8416,0.7796,0.1177,0.2278,0.975,html_
knn,K Neighbors Classifier,0.8387,0.6789,0.8387,0.8331,0.7795,0.1175,0.2198,0.557,html_
gbc,Gradient Boosting Classifier,0.84,0.7057,0.84,0.8542,0.7785,0.1128,0.2339,8.475,html_
ada,Ada Boost Classifier,0.8382,0.6934,0.8382,0.8457,0.7755,0.1009,0.2142,2.386,html_
dt,Decision Tree Classifier,0.8275,0.6851,0.8275,0.7779,0.7746,0.1023,0.1495,0.597,html_
lr,Logistic Regression,0.8283,0.6357,0.8283,0.7398,0.751,0.0013,0.0119,5.324,html_
dummy,Dummy Classifier,0.8284,0.5,0.8284,0.6862,0.7506,0.0,0.0,0.138,html_
ridge,Ridge Classifier,0.8281,0.6544,0.8281,0.6862,0.7505,-0.0006,-0.0062,0.248,html_
lda,Linear Discriminant Analysis,0.828,0.6549,0.828,0.6862,0.7504,-0.0008,-0.008,0.517,html_
svm,SVM - Linear Kernel,0.7315,0.6485,0.7315,0.7294,0.6955,0.0425,0.0586,0.414,html_
nb,Naive Bayes,0.4572,0.6523,0.4572,0.8284,0.4981,0.1262,0.2236,0.17,html_
qda,Quadratic Discriminant Analysis,0.3864,0.6566,0.3864,0.838,0.4078,0.0944,0.2015,0.344,html_
