,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Subset
xgboost,Extreme Gradient Boosting,0.8606,0.8637,0.8606,0.8456,0.8437,0.4169,0.4416,0.329,ip_
lightgbm,Light Gradient Boosting Machine,0.8601,0.864,0.8601,0.8449,0.843,0.4145,0.4393,0.657,ip_
knn,K Neighbors Classifier,0.8472,0.7978,0.8472,0.8349,0.8369,0.4093,0.4199,0.434,ip_
gbc,Gradient Boosting Classifier,0.8502,0.8409,0.8502,0.8321,0.8219,0.3207,0.3674,3.374,ip_
rf,Random Forest Classifier,0.8251,0.7973,0.8251,0.8112,0.8167,0.3426,0.346,0.781,ip_
et,Extra Trees Classifier,0.8247,0.7346,0.8247,0.8093,0.8152,0.3341,0.3384,0.849,ip_
dt,Decision Tree Classifier,0.8214,0.7013,0.8214,0.8049,0.8112,0.3186,0.323,0.296,ip_
ada,Ada Boost Classifier,0.8332,0.8193,0.8332,0.8124,0.7771,0.1309,0.2138,1.128,ip_
svm,SVM - Linear Kernel,0.7969,0.6522,0.7969,0.7512,0.7492,0.074,0.0925,0.596,ip_
lda,Linear Discriminant Analysis,0.824,0.7383,0.824,0.7935,0.7451,0.0025,0.0255,0.231,ip_
lr,Logistic Regression,0.8235,0.7484,0.8235,0.738,0.745,0.0022,0.0145,0.806,ip_
ridge,Ridge Classifier,0.824,0.7383,0.824,0.767,0.7446,0.0007,0.0135,0.202,ip_
dummy,Dummy Classifier,0.8239,0.5,0.8239,0.6789,0.7444,0.0,0.0,0.152,ip_
qda,Quadratic Discriminant Analysis,0.5494,0.7345,0.5494,0.8345,0.5955,0.1933,0.2882,0.213,ip_
nb,Naive Bayes,0.5078,0.6664,0.5078,0.8205,0.5535,0.1534,0.2418,0.162,ip_
