,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Subset
xgboost,Extreme Gradient Boosting,0.9246,0.9166,0.9246,0.9219,0.921,0.717,0.7238,0.536,lex_
lightgbm,Light Gradient Boosting Machine,0.9251,0.9173,0.9251,0.9227,0.921,0.7154,0.7245,0.87,lex_
gbc,Gradient Boosting Classifier,0.9121,0.8968,0.9121,0.9101,0.9046,0.6498,0.6696,16.626,lex_
rf,Random Forest Classifier,0.9046,0.888,0.9046,0.8995,0.8992,0.6365,0.6451,1.697,lex_
et,Extra Trees Classifier,0.9014,0.8247,0.9014,0.8959,0.8956,0.6228,0.6319,1.588,lex_
ada,Ada Boost Classifier,0.8929,0.8775,0.8929,0.8876,0.8817,0.5622,0.5869,3.903,lex_
lda,Linear Discriminant Analysis,0.885,0.8627,0.885,0.8798,0.87,0.5134,0.5483,0.624,lex_
dt,Decision Tree Classifier,0.86,0.7757,0.86,0.86,0.86,0.5173,0.5174,1.36,lex_
ridge,Ridge Classifier,0.8779,0.8627,0.8779,0.877,0.8561,0.4528,0.5108,0.278,lex_
knn,K Neighbors Classifier,0.8548,0.7614,0.8548,0.8427,0.8245,0.3278,0.3872,1.006,lex_
lr,Logistic Regression,0.8239,0.4808,0.8239,0.6789,0.7444,0.0,0.0,0.38,lex_
nb,Naive Bayes,0.8239,0.5298,0.8239,0.6789,0.7444,0.0,0.0,0.236,lex_
dummy,Dummy Classifier,0.8239,0.5,0.8239,0.6789,0.7444,0.0,0.0,0.191,lex_
svm,SVM - Linear Kernel,0.6296,0.5015,0.6296,0.4845,0.5369,0.0,0.0,5.102,lex_
qda,Quadratic Discriminant Analysis,0.2728,0.8411,0.2728,0.8385,0.2327,0.0409,0.1337,0.422,lex_
