,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Subset
xgboost,Extreme Gradient Boosting,0.9538,0.9588,0.9538,0.9529,0.9527,0.8299,0.8321,0.527,rdap_
lightgbm,Light Gradient Boosting Machine,0.9527,0.957,0.9527,0.9518,0.9513,0.824,0.8272,0.954,rdap_
rf,Random Forest Classifier,0.9503,0.955,0.9503,0.9492,0.9491,0.8172,0.8192,0.547,rdap_
et,Extra Trees Classifier,0.9477,0.9352,0.9477,0.9465,0.9463,0.8067,0.8092,0.479,rdap_
knn,K Neighbors Classifier,0.9355,0.9156,0.9355,0.9337,0.9341,0.7633,0.765,0.371,rdap_
dt,Decision Tree Classifier,0.9344,0.9016,0.9344,0.9337,0.934,0.7665,0.7667,0.384,rdap_
gbc,Gradient Boosting Classifier,0.9356,0.9368,0.9356,0.934,0.9323,0.7518,0.7598,6.068,rdap_
ada,Ada Boost Classifier,0.9175,0.915,0.9175,0.914,0.9129,0.6793,0.6884,1.543,rdap_
lda,Linear Discriminant Analysis,0.8599,0.8505,0.8599,0.8445,0.846,0.4195,0.4359,0.225,rdap_
ridge,Ridge Classifier,0.8441,0.8504,0.8441,0.8228,0.803,0.2199,0.2877,0.171,rdap_
nb,Naive Bayes,0.8284,0.7081,0.8284,0.6862,0.7506,0.0,0.0,0.121,rdap_
dummy,Dummy Classifier,0.8284,0.5,0.8284,0.6862,0.7506,0.0,0.0,0.115,rdap_
lr,Logistic Regression,0.7214,0.4535,0.7214,0.6905,0.7022,-0.0843,-0.0866,0.281,rdap_
qda,Quadratic Discriminant Analysis,0.6033,0.8785,0.6033,0.8562,0.649,0.2496,0.3511,0.187,rdap_
svm,SVM - Linear Kernel,0.4524,0.5007,0.4524,0.6719,0.4729,-0.1222,-0.1351,0.818,rdap_
