,Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec),Subset
xgboost,Extreme Gradient Boosting,0.8306,0.6873,0.8306,0.8333,0.7623,0.0702,0.1725,0.619,tls_
lightgbm,Light Gradient Boosting Machine,0.8306,0.6882,0.8306,0.8336,0.7623,0.0701,0.1726,0.645,tls_
rf,Random Forest Classifier,0.8305,0.6873,0.8305,0.8323,0.7622,0.0697,0.1712,0.576,tls_
et,Extra Trees Classifier,0.8305,0.6868,0.8305,0.8327,0.7621,0.0693,0.1709,0.577,tls_
dt,Decision Tree Classifier,0.8302,0.6866,0.8302,0.8287,0.762,0.0689,0.1677,0.199,tls_
gbc,Gradient Boosting Classifier,0.8297,0.6766,0.8297,0.8318,0.7602,0.0621,0.1612,1.693,tls_
ada,Ada Boost Classifier,0.8282,0.6263,0.8282,0.8233,0.7569,0.049,0.138,0.795,tls_
knn,K Neighbors Classifier,0.8278,0.5485,0.8278,0.8154,0.7568,0.0487,0.1323,0.751,tls_
lda,Linear Discriminant Analysis,0.8251,0.6197,0.8251,0.7791,0.7559,0.0453,0.1038,0.304,tls_
ridge,Ridge Classifier,0.8266,0.6196,0.8266,0.7986,0.7558,0.0446,0.1165,0.224,tls_
qda,Quadratic Discriminant Analysis,0.8241,0.4277,0.8241,0.767,0.7448,0.0016,0.0197,0.245,tls_
dummy,Dummy Classifier,0.8239,0.5,0.8239,0.6789,0.7444,0.0,0.0,0.169,tls_
lr,Logistic Regression,0.7559,0.5682,0.7559,0.7249,0.7353,0.0469,0.048,0.306,tls_
nb,Naive Bayes,0.7448,0.5459,0.7448,0.7297,0.7347,0.0631,0.065,0.18,tls_
svm,SVM - Linear Kernel,0.6839,0.5298,0.6839,0.6576,0.6654,0.0534,0.0536,1.244,tls_
